company_name,signal_count,repo_name
affaan-m,381,affaan-m/everything-claude-code
jarrodwatts,258,jarrodwatts/claude-hud
shareAI-lab,202,shareAI-lab/learn-claude-code
openai,138,openai/parameter-golf
langchain-ai,104,langchain-ai/open-swe
langchain-ai,90,langchain-ai/deepagents
rtk-ai,76,rtk-ai/rtk
shanraisshan,75,shanraisshan/claude-code-best-practice
anthropics,70,anthropics/claude-code
ykdojo,69,ykdojo/claude-code-tips
ComposioHQ,63,ComposioHQ/awesome-claude-skills
justlovemaki,62,justlovemaki/AIClient-2-API
EverMind-AI,58,EverMind-AI/MSA
public-apis,52,public-apis/public-apis
manaflow-ai,50,manaflow-ai/cmux
Fission-AI,48,Fission-AI/OpenSpec
thedotmack,46,thedotmack/claude-mem
wanshuiyin,43,wanshuiyin/Auto-claude-code-research-in-sleep
Forget-C,43,Forget-C/Jellyfish
Leey21,41,Leey21/awesome-ai-research-writing
n8n-io,41,n8n-io/n8n
openai,40,openai/codex
x1xhlol,39,x1xhlol/system-prompts-and-models-of-ai-tools
DayuanJiang,38,DayuanJiang/next-ai-draw-io
zubair-trabzada,37,zubair-trabzada/geo-seo-claude
moeru-ai,34,moeru-ai/airi
vinta,33,vinta/awesome-python
anthropics,32,anthropics/claude-plugins-official
torvalds,32,torvalds/linux
ChromeDevTools,29,ChromeDevTools/chrome-devtools-mcp
langchain-ai,28,langchain-ai/langchain
alirezarezvani,27,alirezarezvani/claude-skills
QuantumNous,27,QuantumNous/new-api
MiniMax-AI,26,MiniMax-AI/OpenRoom
alaeelhariri,25,alaeelhariri/sqlite-python-app
vercel-labs,23,vercel-labs/agent-browser
hesreallyhim,23,hesreallyhim/awesome-claude-code
Nagi-ovo,22,Nagi-ovo/gemini-voyager
langflow-ai,21,langflow-ai/openrag
openai,19,openai/symphony
VoltAgent,19,VoltAgent/awesome-claude-code-subagents
agentscope-ai,19,agentscope-ai/CoPaw
RightNow-AI,19,RightNow-AI/openfang
TheAlgorithms,18,TheAlgorithms/Python
ValueCell-ai,17,ValueCell-ai/ClawX
cheahjs,17,cheahjs/free-llm-api-resources
vercel-labs,16,vercel-labs/skills
google-gemini,16,google-gemini/gemini-cli
travisvn,15,travisvn/awesome-claude-skills
camel-ai,14,camel-ai/oasis
facebook,14,facebook/react
avelino,14,avelino/awesome-go
vercel-labs,14,vercel-labs/agent-skills
pytorch,14,pytorch/pytorch
microsoft,14,microsoft/ai-agents-for-beginners
TranHoaiHung,14,TranHoaiHung/figma-ui-mcp
musistudio,13,musistudio/claude-code-router
K-Dense-AI,13,K-Dense-AI/claude-scientific-skills
Wei-Shaw,13,Wei-Shaw/claude-relay-service
adminlove520,13,adminlove520/AI-Account-Toolkit
supabase,13,supabase/supabase
loongclaw-ai,13,loongclaw-ai/loongclaw
patchy631,12,patchy631/ai-engineering-hub
vercel-labs,12,vercel-labs/portless
langchain-ai,12,langchain-ai/langgraph
Galaxy-Dawn,12,Galaxy-Dawn/claude-scholar
mixedbread-ai,12,mixedbread-ai/mgrep
yangfeng20,12,yangfeng20/ai-job
chatfire-AI,12,chatfire-AI/huobao-drama
aidenybai,12,aidenybai/react-grab
vercel-labs,11,vercel-labs/json-render
vercel-labs,11,vercel-labs/just-bash
vybenetwork,11,vybenetwork/solana-ohlc-candlestick-data-api
openai,11,openai/whisper
openai,11,openai/openai-agents-python
microsoft,11,microsoft/playwright-mcp
alexeygrigorev,11,alexeygrigorev/ai-engineering-field-guide
punkpeye,11,punkpeye/awesome-mcp-servers
vercel,11,vercel/chat
FlorianBruniaux,11,FlorianBruniaux/claude-code-ultimate-guide
skillmatic-ai,11,skillmatic-ai/awesome-agent-skills
invoke-ai,11,invoke-ai/InvokeAI
vybenetwork,10,vybenetwork/solana-token-stats-metadata-api
naver-ai,10,naver-ai/seoul-world-model
Piebald-AI,10,Piebald-AI/claude-code-system-prompts
HKUDS,10,HKUDS/AI-Trader
dair-ai,9,dair-ai/Prompt-Engineering-Guide
farouqaldori,9,farouqaldori/claude-island
enescingoz,9,enescingoz/awesome-n8n-templates
anthropics,9,anthropics/claude-quickstarts
Jeffallan,9,Jeffallan/claude-skills
entropyconquers,9,entropyconquers/react-native-reanimated-dnd
jackfrued,9,jackfrued/Python-100-Days
paullarionov,9,paullarionov/claude-certified-architect
songquanpeng,9,songquanpeng/one-api
xpzouying,9,xpzouying/xiaohongshu-mcp
mnemox-ai,9,mnemox-ai/tradememory-protocol
ding113,9,ding113/claude-code-hub
derafehaolivermoss,9,derafehaolivermoss/windows-extreme-injector
southleft,9,southleft/figma-console-mcp
